date,total,N501Y
2020-11-02,3,0
2020-11-03,3,0
2020-11-04,3,0
2020-11-06,2,0
2020-11-09,1,0
2020-11-16,1,0
2020-11-17,4,0
2020-11-23,2,0
2020-11-30,1,0
2020-12-10,1,0
2020-12-15,1,0
2020-12-18,1,0
2020-12-22,1,1
2020-12-26,1,0
2020-12-27,2,0
2020-12-31,1,0
2021-01-13,33,6
2021-01-14,41,4
2021-01-15,62,12
2021-01-16,42,10
2021-01-17,33,7
2021-01-18,56,14
2021-01-19,46,10
2021-01-20,42,8
2021-01-21,36,6
2021-01-22,38,11
2021-01-23,35,9
2021-01-24,49,16
2021-01-25,56,15
2021-01-26,34,14
2021-01-27,46,22
2021-01-28,46,22
2021-01-29,40,20
2021-01-30,54,29
2021-01-31,43,25
2021-02-01,46,23
2021-02-02,39,24
2021-02-03,28,24
2021-02-04,49,26
2021-02-05,42,23
2021-02-06,43,31
2021-02-07,27,17
2021-02-08,38,26
2021-02-09,33,24
2021-02-10,30,24
2021-02-11,40,32
2021-02-12,25,21
2021-02-13,49,39
2021-02-14,34,22
2021-02-15,31,23
2021-02-16,32,18
2021-02-17,25,16
2021-02-18,16,7
2021-02-19,22,15
2021-02-20,30,21
2021-02-21,35,28
2021-02-22,23,17
2021-02-23,24,20
2021-02-24,21,13
2021-02-25,15,9
2021-02-26,13,13
2021-02-27,29,26
2021-02-28,33,31
2021-03-01,26,23
2021-03-02,16,14
2021-03-03,23,18
2021-03-04,20,19
2021-03-05,30,26
2021-03-06,49,46
2021-03-07,38,32
2021-03-08,33,31
2021-03-09,26,25
2021-03-10,35,32
2021-03-11,19,19
2021-03-12,33,29
2021-03-13,51,47
2021-03-14,45,43
2021-03-15,35,33
2021-03-16,29,25
2021-03-17,32,29
2021-03-18,31,27
2021-03-19,29,28
2021-03-20,50,49
2021-03-21,48,45
2021-03-22,36,34
2021-03-23,30,24
2021-03-24,41,37
